Source Country,Country,points,Total
Romania,Norway,4,334
Romania,Sweden,0,330
Romania,Azerbaijan,16,291
Romania,North Macedonia,7,292
Romania,Iceland,5,231
Romania,Czech Republic,8,152
Romania,Denmark,0,114
Romania,Slovenia,0,103
Romania,France,0,100
Romania,Cyprus,0,97
Romania,Malta,0,91
Romania,Serbia,3,91
Romania,Albania,2,88
Romania,Estonia,0,81
Romania,San Marino,0,78
Romania,Greece,0,71
Romania,Germany,0,32
Romania,Belarus,0,38
Romania,The Netherlands,17,492
Belarus,Italy,3,461
Belarus,Spain,6,58
Belarus,Israel,12,46
Belarus,United Kingdom,5,14
Belarus,Australia,3,282
Belarus,Russia,0,353
Belarus,Switzerland,4,356
Belarus,Norway,15,334
Belarus,Sweden,0,330
Belarus,Azerbaijan,6,291
Belarus,North Macedonia,0,292
Belarus,Iceland,9,231
Belarus,Czech Republic,0,152
Belarus,Denmark,0,114
Belarus,Slovenia,5,103
Belarus,France,0,100
Belarus,Cyprus,0,97
Belarus,Malta,0,91
Belarus,Serbia,3,91
Belarus,Albania,0,88
Belarus,Estonia,10,81
Belarus,San Marino,5,78
Belarus,Greece,0,71
Belarus,Germany,8,32
Belarus,Belarus,10,38
Belarus,The Netherlands,12,492
Belarus,Russia,0,353
